title,authors,average_rating,rating,date_of_publication,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
How to Become King,Jan Terlouw,4.13,9315,1971-01-01,128,"['Fantasy', 'Childrens', 'Fiction', 'Young Adult', 'Adventure', 'Classics', 'Dutch Literature']",158,452,57,102,222,1602,3865,3524
Mockingbird Wish Me Luck,Charles Bukowski,4.11,2218,1972-01-01,160,"['Poetry', 'Fiction', 'American', 'Classics', '20th Century', 'The United States Of America', 'Literature']",27700,129,855,21,64,408,885,840
School for Love,Olivia Manning,3.86,604,1951-01-01,192,"['Fiction', 'Historical Fiction', 'British Literature', '20th Century', 'Literary Fiction', 'Israel', 'Classics', 'Fiction', 'Historical Fiction', 'British Literature', '20th Century', 'Literary Fiction', 'Israel', 'Classics', 'Fiction', 'Historical Fiction', 'British Literature', '20th Century', 'Literary Fiction', 'Israel', 'Classics']",138,100,61,8,17,170,266,143
King Arthur and His Knights of the Round Table,Roger Lancelyn Green,3.9,6159,1953-01-01,330,"['Classics', 'Fantasy', 'Fiction', 'Arthurian', 'Mythology', 'Historical Fiction', 'Adventure', 'Classics', 'Fantasy', 'Fiction', 'Arthurian', 'Mythology', 'Historical Fiction', 'Adventure', 'Classics', 'Fantasy', 'Fiction', 'Arthurian', 'Mythology', 'Historical Fiction', 'Adventure']",209,477,138,96,351,1566,2194,1952
Stones Under the Scythe,Ольга Мак,4.64,22,1973-01-01,184,"['Fiction', 'Fiction', 'Fiction']",5,7,16,0,0,1,6,15
Zdarzenia na brygu Banbury,Witold Gombrowicz,3.66,38,1982-01-01,113,[],916,3,113,0,2,18,9,9
I'll Bring You Buttercups,Elizabeth Elgin,4.24,215,1993-07-01,0,"['Historical Fiction', 'Fiction', 'Romance']",27,15,29,2,11,34,55,113
Fear and Misery in the Third Reich,Bertolt Brecht,4.06,1244,1938-01-01,216,"['Plays', 'Drama', 'Fiction', 'German Literature', 'Classics', 'Theatre', 'Germany', 'Plays', 'Drama', 'Fiction', 'German Literature', 'Classics', 'Theatre', 'Germany', 'Plays', 'Drama', 'Fiction', 'German Literature', 'Classics', 'Theatre', 'Germany', 'Plays', 'Drama', 'Fiction', 'German Literature', 'Classics', 'Theatre', 'Germany', 'Plays', 'Drama', 'Fiction', 'German Literature', 'Classics', 'Theatre', 'Germany']",1722,92,1410,12,57,235,478,462
The Witch in the Cherry Tree,Margaret Mahy,4.25,133,1974-01-01,32,"['Picture Books', 'Childrens', 'Witches', 'Fiction', 'Halloween', 'Picture Books', 'Childrens', 'Witches', 'Fiction', 'Halloween', 'Picture Books', 'Childrens', 'Witches', 'Fiction', 'Halloween']",266,19,392,0,4,19,50,60
Whirlwind,James Clavell,3.86,7754,1986-01-01,1252,"['Historical Fiction', 'Fiction', 'Historical', 'Adventure', 'Thriller', 'Asia', 'Novels']",2853,287,173,161,534,1965,2701,2393
Societatea deschisă și dușmanii ei,Karl Popper,4.23,2164,1956-01-01,784,"['Philosophy', 'Politics', 'Nonfiction', 'History', 'Sociology', 'Science', 'Society', 'Philosophy', 'Politics', 'Nonfiction', 'History', 'Sociology', 'Science', 'Society', 'Philosophy', 'Politics', 'Nonfiction', 'History', 'Sociology', 'Science', 'Society']",1524,221,276,51,90,270,661,1092
The Helmet,Richard Brown,3.47,89,2000-02-01,224,"['Fantasy', 'Childrens', 'Fiction']",16,4,979,2,8,34,36,9
Any Old Iron,Anthony Burgess,3.6,504,1989-02-24,373,"['Fiction', 'Historical Fiction', 'Fantasy', 'British Literature', 'Literary Fiction', 'Novels', 'Literature']",3797,32,290,9,52,168,178,97
Selected Poems,Alfonsina Storni,4.18,833,1938-01-01,63,"['Poetry', 'Spanish Literature', 'Classics', 'Womens', 'Feminism']",219,93,155,6,20,133,334,340
"Naoki Urasawa's Monster, Volume 7: Richard",Naoki Urasawa,4.47,2590,1997-12-01,216,"['Manga', 'Comics', 'Thriller', 'Mystery', 'Graphic Novels', 'Horror', 'Monsters']",2289,91,387,9,22,202,859,1498
The Dark Tower: And Other Stories,C.S. Lewis,3.7,2885,1977-02-01,240,"['Fiction', 'Fantasy', 'Short Stories', 'Science Fiction', 'Christian', 'Classics', 'Christian Fiction']",42200,351,1291,39,218,910,1118,600
Besieged: Life Under Fire on a Sarajevo Street,Barbara Demick,4.26,2177,1996-06-01,240,"['Nonfiction', 'History', 'War', 'Politics', 'Journalism', 'Travel', 'Reportage']",1073,216,4,8,30,258,963,918
The Complete Works of H.P. Lovecraft,H.P. Lovecraft,4.36,17777,1978-11-01,811,"['Horror', 'Fiction', 'Classics', 'Fantasy', 'Short Stories', 'Science Fiction', 'Literature']",17400,533,3847,150,392,2023,5637,9575
The Serge-Trotsky Papers: Correspondence and Other Writings between Victor Serge and Leon Trotsky,Victor Serge,3.33,6,1920-01-01,276,[],196,0,112,1,0,2,2,1
The Tale of Tom Kitten / Jemima Puddle-Duck,Beatrix Potter,4.5,14,1993-03-25,32,['Animals'],1972,2,2830,0,0,1,5,8
Znakovi pored puta,Ivo Andrić,4.48,1771,1976-01-01,624,"['Classics', 'Fiction', 'Serbian Literature', 'Philosophy', 'Short Stories']",1127,29,271,12,31,160,467,1101
Understanding Analysis,Stephen Abbott,4.45,378,2000-01-01,272,"['Mathematics', 'Textbooks', 'Nonfiction', 'Reference', 'Science', 'Academic', 'Education']",4,33,15,4,8,30,108,228
The Idea of India,Sunil Khilnani,3.84,1026,1997-07-03,264,"['India', 'History', 'Nonfiction', 'Politics', 'Cultural', 'Indian Literature', 'Political Science']",72,89,12,27,54,259,403,283
Sultana's Dream,Rokeya Sakhawat Hossain,3.88,2013,1905-01-01,64,"['Feminism', 'Short Stories', 'Fiction', 'Science Fiction', 'Classics', 'Fantasy', 'India', 'Feminism', 'Short Stories', 'Fiction', 'Science Fiction', 'Classics', 'Fantasy', 'India', 'Feminism', 'Short Stories', 'Fiction', 'Science Fiction', 'Classics', 'Fantasy', 'India', 'Feminism', 'Short Stories', 'Fiction', 'Science Fiction', 'Classics', 'Fantasy', 'India', 'Feminism', 'Short Stories', 'Fiction', 'Science Fiction', 'Classics', 'Fantasy', 'India']",99,319,40,30,107,525,756,595
The Busconductor Hines,James Kelman,3.6,373,1984-01-01,237,"['Fiction', 'Scotland', 'Novels', 'British Literature', '20th Century', 'Modern', 'Literature']",248,34,91,16,39,93,156,69
東京ラブストーリー,Fumi Saimon,4.17,46,1990-04-01,232,['Manga'],2,5,24,0,2,6,20,18
The Beyond,Jean Sutton,4.1,31,1967-01-01,223,"['Science Fiction', 'Science Fiction', 'Science Fiction']",3,5,16,0,3,4,11,13
The Time-Image,Gilles Deleuze,4.18,1208,1985-01-01,362,"['Philosophy', 'Film', 'Nonfiction', 'Theory', 'Art', 'France', 'Cultural Studies']",2125,29,272,25,52,170,391,570
The Prince of Mist,Carlos Ruiz Zafón,3.79,56014,1993-01-01,218,"['Fantasy', 'Young Adult', 'Fiction', 'Mystery', 'Horror', 'Spanish Literature', 'Historical Fiction', 'Fantasy', 'Young Adult', 'Fiction', 'Mystery', 'Horror', 'Spanish Literature', 'Historical Fiction', 'Fantasy', 'Young Adult', 'Fiction', 'Mystery', 'Horror', 'Spanish Literature', 'Historical Fiction']",24500,4732,44,681,3525,16578,21573,13657
My Name is Jorge: On Both Sides of the River,Jane Medina,4.45,172,1999-09-01,48,"['Poetry', 'Cultural', 'Childrens', 'Spanish Literature', 'Fiction', 'Picture Books', 'Realistic Fiction', 'Poetry', 'Cultural', 'Childrens', 'Spanish Literature', 'Fiction', 'Picture Books', 'Realistic Fiction', 'Poetry', 'Cultural', 'Childrens', 'Spanish Literature', 'Fiction', 'Picture Books', 'Realistic Fiction']",6,91,6,1,0,16,59,96
Mitsou: Ou comment l'esprit vient aux filles,Colette,3.68,157,1919-01-01,192,"['France', 'Fiction', 'Classics', '20th Century', 'Roman']",1498,22,555,2,9,58,56,32
The Winter Room,Gary Paulsen,3.65,2927,1989-09-01,112,"['Fiction', 'Historical Fiction', 'Young Adult', 'Childrens', 'Realistic Fiction', 'Middle Grade', 'Historical']",3510,300,345,109,296,858,920,744
The Nonconformist's Memorial: Poems,Susan Howe,4.3,149,1993-05-01,160,['Poetry'],152,7,67,4,8,12,40,85
Mary Anne,Daphne du Maurier,3.43,2560,1954-01-01,385,"['Historical Fiction', 'Classics', 'Fiction', 'Historical', 'Romance', 'Gothic', 'British Literature']",8572,304,324,65,336,976,798,385
Terra Incognita: Travels in Antarctica,Sara Wheeler,3.85,2014,1996-01-01,384,"['Travel', 'Nonfiction', 'Adventure', 'Memoir', 'Nature', 'Science', 'History']",124,146,26,57,138,497,685,637
No Time to Say Goodbye: Surviving The Suicide Of A Loved One,Carla Fine,4.23,918,1996-12-01,272,"['Nonfiction', 'Mental Health', 'Psychology', 'Self Help', 'Death', 'Memoir', 'Research']",6,116,10,14,25,128,318,433
The Ka of Gifford Hillary,Dennis Wheatley,3.74,403,1956-01-01,0,"['Horror', 'Fiction', 'Fantasy', 'Occult', 'Gothic', 'Supernatural', 'Magic']",220,38,311,14,25,117,143,104
Die Strudlhofstiege oder Melzer und die Tiefe der Jahre,Heimito von Doderer,3.95,360,1951-01-01,909,"['Fiction', 'German Literature', 'Classics', 'Literature', 'Novels', 'Germany', 'Literary Fiction']",48,39,63,22,26,58,96,158
Holy Terror: Andy Warhol Close Up,Bob Colacello,3.99,689,1990-01-01,768,"['Art', 'Biography', 'Nonfiction', 'Pop Culture', 'Memoir', 'Art History', 'Cultural']",9,53,33,5,30,167,252,235
Midnight Warrior,Iris Johansen,3.89,2272,1994-01-01,356,"['Romance', 'Historical Romance', 'Historical', 'Medieval', 'Medieval Romance', 'Historical Fiction', 'Fiction']",6876,84,294,36,129,599,794,714
Ishi in Two Worlds: A Biography of the Last Wild Indian in North America,Theodora Kroeber,4.09,1484,1961-06-01,286,"['History', 'Biography', 'Nonfiction', 'Anthropology', 'American History', 'Native Americans', 'Biography Memoir', 'History', 'Biography', 'Nonfiction', 'Anthropology', 'American History', 'Native Americans', 'Biography Memoir', 'History', 'Biography', 'Nonfiction', 'Anthropology', 'American History', 'Native Americans', 'Biography Memoir']",18,161,22,9,55,274,607,539
Nabokov's Pale Fire: The Magic of Artistic Discovery,Brian Boyd,4.28,267,1999-01-01,320,"['Nonfiction', 'Criticism', 'Literary Criticism', 'Literature', 'Art', 'Russia']",48,29,64,1,4,34,108,120
Birds of Prey,Wilbur Smith,4.23,12711,1997-01-01,560,"['Historical Fiction', 'Fiction', 'Adventure', 'Africa', 'Historical', 'Thriller', 'Pirates']",4006,381,462,87,337,1928,4634,5725
"De Uitvreter, Titaantjes, Dichtertje, Mene Tekel",Nescio,4.02,2596,1918-01-01,157,"['Fiction', 'Dutch Literature', 'Literature', 'Classics', 'Short Stories', 'School', '20th Century']",46,131,17,48,155,469,944,980
Madouc,Jack Vance,4.17,2633,1989-01-01,426,"['Fantasy', 'Fiction', 'Science Fiction', 'Science Fiction Fantasy', 'High Fantasy', 'Epic Fantasy', 'Speculative Fiction']",1374,140,830,16,80,449,987,1101
"Asphodel, That Greeny Flower & Other Love Poems",William Carlos Williams,4.07,129,1994-11-01,60,"['Poetry', 'American']",762,15,336,3,4,23,50,49
The Kingdom of Matthias: A Story of Sex and Salvation in 19th-Century America,Paul E. Johnson,3.66,877,1994-04-28,240,"['History', 'Nonfiction', 'Religion', 'American History', 'School', 'Read For School', '19th Century', 'History', 'Nonfiction', 'Religion', 'American History', 'School', 'Read For School', '19th Century', 'History', 'Nonfiction', 'Religion', 'American History', 'School', 'Read For School', '19th Century']",3,71,55,25,79,259,322,192
A Night in the Lonesome October,Roger Zelazny,4.18,12113,1993-01-01,280,"['Fantasy', 'Horror', 'Fiction', 'Mystery', 'Halloween', 'Humor', 'Vampires', 'Fantasy', 'Horror', 'Fiction', 'Mystery', 'Halloween', 'Humor', 'Vampires', 'Fantasy', 'Horror', 'Fiction', 'Mystery', 'Halloween', 'Humor', 'Vampires']",3582,1723,758,127,454,1925,4200,5407
Ondskans ansikte,Margit Sandemo,3.86,509,1992-01-01,253,"['Fantasy', 'Romance', 'Historical Fiction', 'Supernatural', 'Historical', 'Audiobook', 'Witches']",353,7,209,7,34,137,178,153
Politics and Painting: Murals and Conflict in Northern Ireland,Bill Rolston,4.33,9,1991-07-01,156,[],2,0,20,0,0,3,0,6
Riceyman Steps,Arnold Bennett,3.87,419,1923-01-01,416,"['Fiction', 'Classics', 'British Literature', 'Novels', '20th Century', 'Literary Fiction', 'Books About Books', 'Fiction', 'Classics', 'British Literature', 'Novels', '20th Century', 'Literary Fiction', 'Books About Books', 'Fiction', 'Classics', 'British Literature', 'Novels', '20th Century', 'Literary Fiction', 'Books About Books', 'Fiction', 'Classics', 'British Literature', 'Novels', '20th Century', 'Literary Fiction', 'Books About Books', 'Fiction', 'Classics', 'British Literature', 'Novels', '20th Century', 'Literary Fiction', 'Books About Books']",286,75,1189,4,24,101,184,106
دين ضد الدين (الآثار الكاملة، #7(,Ali Shariati,3.8,1942,2018-11-01,256,"['Religion', 'Philosophy', 'Islam', 'Nonfiction', 'Politics', 'Sociology', 'Theology', 'Religion', 'Philosophy', 'Islam', 'Nonfiction', 'Politics', 'Sociology', 'Theology', 'Religion', 'Philosophy', 'Islam', 'Nonfiction', 'Politics', 'Sociology', 'Theology']",2406,244,347,61,144,473,709,555
Villa Des Roses,Willem Elsschot,3.55,2402,1913-01-01,144,"['Fiction', 'Classics', 'School', 'Literature', 'Dutch Literature', '20th Century', 'Belgium']",100,117,38,35,221,848,985,313
Cuckold,Kiran Nagarkar,4.18,1706,1999-10-01,624,"['Fiction', 'India', 'Historical Fiction', 'Indian Literature', 'Historical', 'Literature', 'Asia']",141,216,19,24,72,239,613,758
Blue Moon Rising,Simon R. Green,4.09,4664,1989-01-01,480,"['Fantasy', 'Dragons', 'Fiction', 'Humor', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy']",3082,312,333,63,221,857,1626,1897
Handbook for Preclears,L. Ron Hubbard,3.96,113,1976-01-01,423,"['Religion', 'Philosophy', 'Nonfiction']",523,7,1663,18,6,7,13,69
Solar Storms,Linda Hogan,4.16,2339,1994-10-01,352,"['Fiction', 'Historical Fiction', 'School', 'Literary Fiction', 'Historical', 'Novels', 'Adult Fiction']",491,242,74,32,108,371,773,1055
The Ill-Fated Peregrinations of Fray Servando,Reinaldo Arenas,4.1,591,1966-01-01,256,"['Fiction', 'Literature', 'Latin American', 'Spanish Literature', 'Historical Fiction', 'Novels', '20th Century', 'Fiction', 'Literature', 'Latin American', 'Spanish Literature', 'Historical Fiction', 'Novels', '20th Century', 'Fiction', 'Literature', 'Latin American', 'Spanish Literature', 'Historical Fiction', 'Novels', '20th Century']",317,68,64,13,25,106,191,256
Others,James Herbert,3.84,4480,1999-04-09,504,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Supernatural', 'Fantasy', 'Crime']",2161,213,93,98,273,1123,1727,1259
The Greatest Salesman in the World,Og Mandino,4.21,63878,1968-01-01,118,"['Business', 'Self Help', 'Nonfiction', 'Personal Development', 'Philosophy', 'Inspirational', 'Psychology']",843,2277,218,1247,2790,9724,17951,32166
"The Child from the Sea, Part 1 of 2",Elizabeth Goudge,4.11,38,1979-03-01,0,['Historical Fiction'],746,2,98,0,0,4,26,8
The Dog of the South,Charles Portis,3.82,6388,1979-01-01,246,"['Fiction', 'Humor', 'Novels', 'Literature', 'Southern', 'Audiobook', 'Travel']",651,936,14,126,505,1584,2324,1849
Quartered Safe Out Here: A Harrowing Tale of World War II,George MacDonald Fraser,4.13,3810,1992-06-01,264,"['History', 'Nonfiction', 'War', 'Memoir', 'World War II', 'Military History', 'Biography']",660,250,86,123,188,551,1162,1786
Detective Story,Imre Kertész,3.53,962,1977-01-01,112,"['Fiction', 'Hungarian Literature', 'Hungary', 'Nobel Prize', 'Novella', '20th Century', 'Novels', 'Fiction', 'Hungarian Literature', 'Hungary', 'Nobel Prize', 'Novella', '20th Century', 'Novels', 'Fiction', 'Hungarian Literature', 'Hungary', 'Nobel Prize', 'Novella', '20th Century', 'Novels']",340,152,73,13,91,366,355,137
Tirano Banderas,Ramón María del Valle-Inclán,3.5,878,1926-01-01,288,"['Fiction', 'Spain', 'Spanish Literature', 'Literature', '20th Century', 'Classics', 'Novels', 'Fiction', 'Spain', 'Spanish Literature', 'Literature', '20th Century', 'Classics', 'Novels', 'Fiction', 'Spain', 'Spanish Literature', 'Literature', '20th Century', 'Classics', 'Novels']",174,79,327,39,110,271,291,167
Filth,Irvine Welsh,3.81,29667,1998-01-01,393,"['Fiction', 'Crime', 'Contemporary', 'Mystery', 'Novels', 'Thriller', 'Scotland']",6793,1182,138,831,2093,7297,11164,8282
Small Steps: The Year I Got Polio,Peg Kehret,4.44,7384,1996-01-01,208,"['Nonfiction', 'Memoir', 'Biography', 'Middle Grade', 'Childrens', 'Biography Memoir', 'Autobiography']",595,994,66,44,100,678,2333,4229
The Year of the Whale,Victor B. Scheffer,3.96,123,1969-01-01,244,"['Nonfiction', 'Animals']",25,24,25,1,4,34,44,40
Song in the Silence,Elizabeth Kerner,3.95,5544,1996-01-01,401,"['Fantasy', 'Dragons', 'Romance', 'High Fantasy', 'Fiction', 'Magic', 'Adventure']",180,221,5,141,352,1223,1729,2099
Mickey's Christmas Carol,Walt Disney Company,4.3,1426,1995-01-01,96,"['Christmas', 'Childrens', 'Picture Books', 'Holiday', 'Fiction', 'Classics', 'Animals']",2606,47,33200,13,48,240,327,798
The White Steamship,Chingiz Aitmatov,4.12,6088,1957-01-01,188,"['Fiction', 'Classics', 'Roman', 'Literature', 'Russian Literature', 'Russia', 'Turkish Literature', 'Fiction', 'Classics', 'Roman', 'Literature', 'Russian Literature', 'Russia', 'Turkish Literature', 'Fiction', 'Classics', 'Roman', 'Literature', 'Russian Literature', 'Russia', 'Turkish Literature']",806,367,144,68,226,1057,2295,2442
Mucho Mojo,Joe R. Lansdale,4.13,5993,1994-01-01,308,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Noir', 'Humor', 'Mystery Thriller']",3485,458,807,29,127,929,2868,2040
Auschwitz: A Doctor's Eyewitness Account,Miklós Nyiszli,4.31,22298,1946-01-01,222,"['History', 'Nonfiction', 'Holocaust', 'War', 'World War II', 'Biography', 'Memoir', 'History', 'Nonfiction', 'Holocaust', 'War', 'World War II', 'Biography', 'Memoir', 'History', 'Nonfiction', 'Holocaust', 'War', 'World War II', 'Biography', 'Memoir']",40,1753,2,188,428,2696,7943,11043
Vipers' Tangle,François Mauriac,4.06,3263,1932-01-01,312,"['Fiction', 'France', 'Classics', 'French Literature', 'Literature', 'Novels', 'Nobel Prize', 'Fiction', 'France', 'Classics', 'French Literature', 'Literature', 'Novels', 'Nobel Prize', 'Fiction', 'France', 'Classics', 'French Literature', 'Literature', 'Novels', 'Nobel Prize']",336,316,645,51,126,618,1258,1210
Di noi tre,Andrea De Carlo,3.45,1076,1997-01-01,513,"['Fiction', 'Italian Literature', 'Italy', 'Romance', 'Novels']",134,35,45,48,133,378,325,192
வேங்கையின் மைந்தன் [Vengaiyin Maindhan],Akilan,4.02,1012,1961-04-01,832,"['Fiction', 'Historical Fiction', 'Classics', 'Novels', 'Historical']",95,57,16,44,60,154,329,425
The Great Automatic Grammatizator And Other Stories,Roald Dahl,4.05,4895,1982-04-06,286,"['Short Stories', 'Fiction', 'Young Adult', 'Fantasy', 'Horror', 'Humor', 'Childrens']",24600,438,1432,30,179,966,2063,1657
Lady of the Reeds,Pauline Gedge,4.22,1419,1994-01-01,520,"['Historical Fiction', 'Egypt', 'Fiction', 'Historical', 'Romance', 'Ancient', 'Canada']",455,102,65,6,41,225,515,632
Seven Gothic Tales,Isak Dinesen,3.88,3412,1934-04-01,420,"['Short Stories', 'Fiction', 'Gothic', 'Classics', 'Horror', 'Danish', 'Literature', 'Short Stories', 'Fiction', 'Gothic', 'Classics', 'Horror', 'Danish', 'Literature', 'Short Stories', 'Fiction', 'Gothic', 'Classics', 'Horror', 'Danish', 'Literature']",480,318,173,74,262,781,1177,1118
Arus Balik,Pramoedya Ananta Toer,4.38,1510,1995-01-01,751,"['Novels', 'Fiction', 'Indonesian Literature', 'Classics', 'Historical Fiction', 'Literature']",2811,153,98,28,39,164,374,905
Weimar Culture: The Outsider as Insider,Peter Gay,3.75,932,1968-01-01,240,"['History', 'Nonfiction', 'Germany', 'European History', 'Art', 'Politics', 'Cultural']",131,66,184,9,67,273,385,198
Birthing from Within: An Extra-Ordinary Guide to Childbirth Preparation,Pam England,4.01,5859,1998-01-01,331,"['Parenting', 'Nonfiction', 'Health', 'Family', 'Self Help', 'Psychology', 'Childrens', 'Parenting', 'Nonfiction', 'Health', 'Family', 'Self Help', 'Psychology', 'Childrens', 'Parenting', 'Nonfiction', 'Health', 'Family', 'Self Help', 'Psychology', 'Childrens']",25,594,12,85,318,1193,2125,2138
Wrinkles in Time,George Smoot,4.03,1246,1993-01-01,360,"['Science', 'Physics', 'Nonfiction', 'Astronomy', 'History', 'Biography', 'Space', 'Science', 'Physics', 'Nonfiction', 'Astronomy', 'History', 'Biography', 'Space', 'Science', 'Physics', 'Nonfiction', 'Astronomy', 'History', 'Biography', 'Space']",30,49,7,19,68,254,423,482
Pearl Cove,Elizabeth Lowell,4.09,4729,1999-06-08,432,"['Romance', 'Romantic Suspense', 'Mystery', 'Suspense', 'Contemporary', 'Fiction', 'Contemporary Romance']",1823,112,203,29,153,981,1783,1783
Five Have a Wonderful Time,Enid Blyton,4.0,8618,1952-01-01,176,"['Childrens', 'Adventure', 'Fiction', 'Mystery', 'Classics', 'Middle Grade', 'Young Adult']",5786,214,5916,58,310,2222,2993,3035
Ma Rainey's Black Bottom,August Wilson,4.0,3532,1984-01-01,111,"['Plays', 'Drama', 'Fiction', 'Historical Fiction', 'African American', 'Theatre', 'Classics']",488,275,54,41,164,723,1442,1162
Almost Heaven,Judith McNaught,4.33,28191,1989-01-01,544,"['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Regency', 'Fiction', 'Adult']",7393,1169,96,190,637,3666,8748,14950
James Joyce's Ulysses: A Study,Stuart Gilbert,4.17,2324,1932-01-01,405,"['Literary Criticism', 'Nonfiction', 'Classics', 'Literature', 'Criticism', 'Ireland', 'Irish Literature']",10,108,82,36,100,393,709,1086
The Informed Heart,Bruno Bettelheim,4.26,187,1960-01-01,304,"['Psychology', 'Nonfiction', 'History', 'Holocaust', 'Philosophy', 'Jewish', 'War']",123,18,86,2,6,22,69,88
The Fall of a Sparrow,Sálim Ali,4.01,222,1986-02-06,168,"['Nonfiction', 'Biography', 'Nature', 'Birds', 'Wildlife', 'Autobiography', 'India']",29,19,44,5,7,50,79,81
Don't Sweat the Small Stuff ... and It's All Small Stuff: Simple Ways to Keep the Little Things From Taking Over Your Life,Richard Carlson,4.0,92905,1997-12-16,248,"['Self Help', 'Nonfiction', 'Psychology', 'Personal Development', 'Philosophy', 'Inspirational', 'Business']",831,2618,6783,1230,4627,21354,31735,33959
China Blues,Ki Longfellow,4.15,1584,1989-01-01,456,"['Historical Fiction', 'Mystery', 'Fiction', 'Historical', 'Historical Mystery', 'Crime', 'Mystery Thriller']",1215,105,17,20,31,96,988,449
The Giant's House,Elizabeth McCracken,3.66,7536,1996-06-01,320,"['Fiction', 'Historical Fiction', 'Romance', 'Adult Fiction', 'Literary Fiction', 'Novels', 'Adult']",862,976,40,177,686,2236,2872,1565
Ladies' Man,Richard Price,3.51,713,1978-01-01,272,"['Fiction', 'Contemporary', 'New York', 'Novels', 'American', 'Literature']",770,60,202,16,79,260,242,116
The Bannonbridge Musicians,Raymond Fraser,4.33,9,1978-01-01,136,['Canada'],13,4,25,0,0,1,4,4
Love and Garbage,Ivan Klíma,3.66,1450,1986-01-01,224,"['Czech Literature', 'Fiction', 'Novels', 'Literature', '20th Century', 'European Literature', 'Literary Fiction', 'Czech Literature', 'Fiction', 'Novels', 'Literature', '20th Century', 'European Literature', 'Literary Fiction', 'Czech Literature', 'Fiction', 'Novels', 'Literature', '20th Century', 'European Literature', 'Literary Fiction', 'Czech Literature', 'Fiction', 'Novels', 'Literature', '20th Century', 'European Literature', 'Literary Fiction', 'Czech Literature', 'Fiction', 'Novels', 'Literature', '20th Century', 'European Literature', 'Literary Fiction']",321,249,118,49,147,389,527,338
Those Terrible Middle Ages!: Debunking the Myths,Régine Pernoud,3.97,481,1977-01-01,180,"['History', 'Nonfiction', 'Medieval', 'Medieval History', 'Catholic', 'France', 'Religion', 'History', 'Nonfiction', 'Medieval', 'Medieval History', 'Catholic', 'France', 'Religion', 'History', 'Nonfiction', 'Medieval', 'Medieval History', 'Catholic', 'France', 'Religion']",109,66,129,6,29,100,184,162
Maurice Guest,Henry Handel Richardson,3.64,132,1908-01-01,432,"['Classics', 'Fiction', 'Music', '20th Century', 'Historical Fiction', 'Germany', 'Australia']",37,23,59,8,12,30,51,31
Silent Night 2,R.L. Stine,3.59,1836,1993-12-01,196,"['Horror', 'Young Adult', 'Fiction', 'Christmas', 'Childrens', 'Thriller', 'Mystery']",16700,107,1674,33,209,682,464,448
The Little Disturbances of Man,Grace Paley,4.0,1994,1959-01-01,192,"['Short Stories', 'Fiction', 'Literature', 'American', 'Classics', 'Literary Fiction', 'The United States Of America']",367,186,117,33,106,412,728,715
The Lion's Paw,Robb White,4.42,626,1946-01-01,243,"['Fiction', 'Childrens', 'Middle Grade', 'Adventure', 'Young Adult', 'Historical Fiction', 'Classics', 'Fiction', 'Childrens', 'Middle Grade', 'Adventure', 'Young Adult', 'Historical Fiction', 'Classics', 'Fiction', 'Childrens', 'Middle Grade', 'Adventure', 'Young Adult', 'Historical Fiction', 'Classics']",41,125,54,6,13,66,171,370
The Star Wars Trilogy,George Lucas,4.26,7874,1976-01-01,705,"['Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Adventure', 'Space Opera', 'Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Adventure', 'Space Opera', 'Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Adventure', 'Space Opera', 'Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Adventure', 'Space Opera', 'Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Classics', 'Adventure', 'Space Opera']",562,385,237,70,222,1174,2542,3866
Bee Season,Myla Goldberg,3.57,25224,2000-05-02,275,"['Fiction', 'Jewish', 'Contemporary', 'Adult Fiction', 'Coming Of Age', 'Book Club', 'Novels']",374,1742,24,734,2553,8184,9139,4614
100 Selected Stories,O. Henry,4.06,588,1995-01-01,735,"['Fiction', 'Classics', 'Short Stories', 'Literature', 'American', 'Fantasy', 'Classic Literature']",1563,53,2205,14,23,104,221,226
Handbook to Higher Consciousness,Ken Keyes Jr.,4.19,620,1973-01-01,215,"['Spirituality', 'Self Help', 'Psychology', 'Nonfiction', 'Philosophy', 'New Age', 'Inspirational']",25,58,30,14,30,93,173,310
John Brown,W.E.B. Du Bois,4.29,595,1909-09-01,314,"['History', 'Biography', 'Nonfiction', 'Race', 'Politics', 'American History', 'Classics']",1275,70,388,2,9,84,222,278
Human Action: A Treatise on Economics,Ludwig von Mises,4.34,3969,1940-01-01,924,"['Economics', 'Philosophy', 'Politics', 'Nonfiction', 'Business', 'Finance', 'Classics', 'Economics', 'Philosophy', 'Politics', 'Nonfiction', 'Business', 'Finance', 'Classics', 'Economics', 'Philosophy', 'Politics', 'Nonfiction', 'Business', 'Finance', 'Classics']",1051,212,223,110,133,394,992,2340
