title,authors,average_rating,rating,date_of_publication,total_pages,genres,author_followers,no_of_reviews,no_of_books_by_author,one_star_ratings,two_star_ratings,three_star_ratings,four_star_ratings,five_star_ratings
The Thorn Birds,Colleen McCullough,4.24,348804,1977-04-01,692,"['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Historical', 'Historical Romance', 'Novels']",2667,7862,163,4028,11494,51683,109786,171813
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.98,113584,1962-11-01,182,"['Fiction', 'Classics', 'Russia', 'Historical Fiction', 'Russian Literature', 'Literature', 'Novels', 'Fiction', 'Classics', 'Russia', 'Historical Fiction', 'Russian Literature', 'Literature', 'Novels', 'Fiction', 'Classics', 'Russia', 'Historical Fiction', 'Russian Literature', 'Literature', 'Novels', 'Fiction', 'Classics', 'Russia', 'Historical Fiction', 'Russian Literature', 'Literature', 'Novels', 'Fiction', 'Classics', 'Russia', 'Historical Fiction', 'Russian Literature', 'Literature', 'Novels']",3581,6006,432,1650,5405,24221,44899,37409
Roots: The Saga of an American Family,Alex Haley,4.44,159416,1976-08-17,888,"['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'African American', 'Africa', 'Race']",1014,4197,76,1285,2550,15276,45798,94507
Outlander,Diana Gabaldon,4.26,1044568,1991-06-01,850,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']",177000,53734,261,32206,44394,124317,263709,579942
Matilda,Roald Dahl,4.34,936479,1988-10-01,240,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Middle Grade', 'Young Adult', 'Humor', 'Childrens', 'Fiction', 'Classics', 'Fantasy', 'Middle Grade', 'Young Adult', 'Humor', 'Childrens', 'Fiction', 'Classics', 'Fantasy', 'Middle Grade', 'Young Adult', 'Humor']",24600,23159,1432,10704,21359,115018,284973,504425
I Know Why the Caged Bird Sings,Maya Angelou,4.29,527210,1969-01-01,289,"['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Autobiography', 'Poetry', 'Feminism']",13200,16108,228,8215,14860,65004,166498,272633
Shōgun,James Clavell,4.4,176459,1975-06-01,1152,"['Historical Fiction', 'Fiction', 'Japan', 'Historical', 'Classics', 'Adventure', 'Asia']",2850,5934,213,1377,3560,18561,51866,101095
A Fine Balance,Rohinton Mistry,4.37,148769,1995-01-01,603,"['Fiction', 'Historical Fiction', 'India', 'Indian Literature', 'Historical', 'Literary Fiction', 'Canada']",3215,11103,40,2082,4089,14791,43192,84615
Stranger in a Strange Land,Robert A. Heinlein,3.92,311537,1961-07-01,525,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Novels', 'Speculative Fiction', 'Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Novels', 'Speculative Fiction', 'Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Novels', 'Speculative Fiction']",9543,9940,818,13107,22291,60801,94887,120451
Midnight's Children,Salman Rushdie,3.98,123054,1981-03-12,647,"['Fiction', 'Magical Realism', 'Classics', 'India', 'Historical Fiction', 'Fantasy', 'Literature']",11400,8293,140,3614,7981,22904,41314,47241
